people_ID,infect_prob
1,1789.2502
2,746.1624
3,1695.7019
4,1661.7615
5,1599.5493
6,1581.7351
7,1350.5095
8,888.73145
9,1301.9993
10,1056.0494
11,1539.0254
12,888.8291
13,1643.3068
14,622.5969
15,1572.1396
16,1058.0453
17,908.56305
18,852.3953
19,856.177
20,993.06604
21,1075.7834
22,987.2885
23,1691.4995
24,920.5235
25,723.3772
26,1572.4626
27,1084.9199
28,863.8528
29,1510.5679
30,1648.7898
31,1061.502
32,1047.3182
33,1327.5352
34,1099.9318
35,1232.504
36,1204.899
37,913.70776
38,1504.3546
39,865.9463
40,829.6101
41,1506.1384
42,877.2739
43,1443.1001
44,1721.5549
45,1114.7161
46,627.01135
47,1221.8091
48,1785.551
49,626.28094
50,1511.9387
51,1008.3856
52,1057.4126
53,1687.1599
54,609.906
55,1333.3357
56,1502.7565
57,1001.9753
58,1107.0724
59,1445.8417
60,1037.581
61,637.6087
62,1056.6823
63,1103.3884
64,1514.2673
65,993.06604
66,1225.9961
67,1292.258
68,1364.1215
69,1486.6301
70,949.0863
71,943.0813
72,1029.0771
73,603.72314
74,1330.3667
75,1593.9763
76,1065.2837
77,1795.7811
78,1007.7528
79,1782.8094
80,1163.0128
81,1361.1526
82,763.17004
83,1043.1312
84,1252.4653
85,708.6904
86,1626.8633
87,853.856
88,1068.8701
89,1200.7119
90,1182.114
91,1597.0352
92,1713.0131
93,1285.6204
94,1724.0691
95,974.59766
96,657.56995
97,672.58167
98,734.9324
99,1451.4148
100,1471.5574
101,884.4147
102,1600.2797
103,1072.3267
104,1391.6211
105,684.4445
106,1488.6414
107,1024.1277
108,1187.7937
109,1461.0044
110,1100.8894
111,1683.9153
112,1345.3495
113,1397.4215
114,1627.5037
115,904.1486
116,1167.3296
117,835.3877
118,1111.9899
119,1566.0219
120,1422.407
121,1410.9435
122,906.56714
123,1102.658
124,1254.5588
125,600.9968
126,933.44165
127,1788.6099
128,1019.94073
129,1093.5215
130,1527.0115
131,1260.7417
132,642.55817
133,1673.6853
134,1670.3035
135,1468.5886
136,1504.9949
137,618.0045
